usage_date,account_id,account_name,environment,service,region,usage_quantity,usage_unit,blended_cost,currency,owner_team,cost_center
2026-02-03,222222222222,data-platform-prod,production,AmazonS3,us-west-2,20300,GB,755.00,USD,Data Platform,Analytics
2026-02-03,333333333333,app-dev-sandbox,development,AWSLambda,us-west-2,3100000,Requests,149.00,USD,Application Engineering,Engineering
2026-02-03,111111111111,core-platform-prod,production,CloudWatch,us-east-1,1080,GB-Logs,247.00,USD,Platform Engineering,Shared Services
2026-02-04,111111111111,core-platform-prod,production,AmazonEC2,us-east-1,748,Instance-Hours,2860.00,USD,Platform Engineering,Engineering
2026-02-04,111111111111,core-platform-prod,production,AmazonRDS,us-east-1,99,Instance-Hours,1020.00,USD,Data Platform,Engineering
2026-02-04,222222222222,data-platform-prod,production,AmazonS3,us-west-2,20500,GB,761.00,USD,Data Platform,Analytics
2026-02-04,333333333333,app-dev-sandbox,development,AWSLambda,us-west-2,2920000,Requests,141.00,USD,Application Engineering,Engineering
2026-02-04,111111111111,core-platform-prod,production,CloudWatch,us-east-1,980,GB-Logs,228.00,USD,Platform Engineering,Shared Services
2026-02-05,111111111111,core-platform-prod,production,AmazonEC2,us-east-1,756,Instance-Hours,2895.00,USD,Platform Engineering,Engineering
2026-02-05,111111111111,core-platform-prod,production,AmazonRDS,us-east-1,100,Instance-Hours,1028.00,USD,Data Platform,Engineering
2026-02-05,222222222222,data-platform-prod,production,AmazonS3,us-west-2,20800,GB,772.00,USD,Data Platform,Analytics
2026-02-05,333333333333,app-dev-sandbox,development,AWSLambda,us-west-2,2980000,Requests,144.00,USD,Application Engineering,Engineering
2026-02-05,111111111111,core-platform-prod,production,CloudWatch,us-east-1,995,GB-Logs,231.00,USD,Platform Engineering,Shared Services
